PCXPA-I,1,PACAB  ,48,PAACO  ,56658,60
PIMAL-I,1,MANOP1A,57,ALBROCC,25812,40
PIMAL-R,1,ALBROCC,62,MANOP2A,26741,40
VAEROVR-N2,1,ESTAN2A,10,VILRICA,4849,40
VALAAED-N1,1,ALBROCA,2,DORAD1A,9434,60
VALAAPH-N1,1,ALBROCA,4,PACUR  ,6326,40
TBOMA,1,ESTAMAJ,17,ESTAMAJ,8595,40
VALAIPC-N1,1,ALBROCA,10,PACHO  ,10767,40
VALCLA2-N1,1,ALBROCA,7,AMELI3A,5188,40
VALCNAC-N2,1,ALBROCA,5,ESTAN1A,16745,60
VALCNAZ-N2,1,ALBROCA,20,EALCDIA,24368,30
LPEMP,1,ESTLP2B,48,ESTLP2B,24765,40
LPEPE-VI,1,ESTAPEA,5,ESTLP1A,4981,60
LPEPE-VR,1,ESTLP2B,4,ESTAPEA,5349,60
LPESJ-VI,1,PEGRE1A,3,ESTLP1A,4453,60
LPESJ-VR,1,ESTLP2A,4,YSAJO1A,5145,60
PCXPA-R,1,PAACO  ,54,PACAB  ,62624,40
VALCNPJ-N1,1,ALBROCA,3,PACAF  ,20936,60
VALCNPN-N2,1,ALBROCA,5,POLIC1A,17782,30
VALCNPO-N2,1,ALBROCA,4,PAOJO  ,16578,40
VALCNPP-N2,1,ALBROCA,5,PAPUE  ,26429,40
VALCNPS-N2,1,ALBROCA,7,VPESA1A,18021,30
VALCNP2-N2,1,ALBROCA,17,ESTAPEA,32073,40
VALCNP7-N2,1,ALBROCA,5,POLSI2A,18022,30
VALCNSB-N2,1,ALBROCA,5,ESTSI2A,16228,60
PIMMA-R,1,ESTAMAP,58,MANOP2A,21239,40
TCMAL-I,1,ESTATCA,54,ALBROCC,24350,40
TCMAL-R,1,ALBROCC,58,TORCA2A,24859,40
LPETO,1,ESTLP2A,67,ESTLP2A,34096,40
LPSMA-I,1,ESTLP2A,25,ESTAMAA,20610,40
LPSMA-R,1,ESTAMAA,28,ESTLP1A,22836,40
VALCNSI-N2,1,ALBROCA,15,YSAJO1A,31940,40
VALCNST-N2,1,ALBROCA,13,ESTASLA,19908,40
VALCNS1-N2,1,ALBROCA,6,ETAP11A,18192,40
VALCNTE-R2,1,ALBROCA,14,ESTATCA,20429,40
VALCNTR-N2,1,ALBROCA,16,TTOTC1A,21083,40
VALCNVE-N2,1,ALBROCA,6,VERAN3A,17095,40
VALCNV1-N2,1,ALBROCA,8,VALLE1A,19582,30
PINAL-I,1,MANOP1A,26,ALBROCG,23223,40
PINAL-R,1,ALBROCG,30,MANOP2A,25254,40
SPVAL-DR,1,ALBROCA,48,AVE3CSA,24683,40
SUFAL,1,ALBROCD,31,ALBROCD,36470,40
MAKOV,1,ESTAMAN,41,ESTAMAN,15504,40
MAMPK,1,ESTAMAO,40,ESTAMAO,16184,40
VALCSBV-N2,1,ALBROCA,11,BVVCS1A,14606,40
VALCSCA-N2,1,ALBROCA,22,PENAB1A,30894,40
VALCSCE-N2,1,ALBROCA,12,BVVCS2A,15200,40
VALCSCP-N2,1,ALBROCA,26,CPRAD1A,26610,30
PQSAL-I,1,PREAL2A,25,ALBROCF,29905,40
PQSAL-R,1,ALBROCF,24,PREAL1A,32478,50
PVCAL-I,1,ETBVE1B,32,ALBROCH,15853,40
VCHNPH-NA1,1,LPATK1A,25,PACUR  ,36848,40
VCNKVR-NA2,1,CEVTM1A,14,VILRICA,6245,40
VEKAL-I,1,VERAN3A,42,ALBROCC,17982,40
MASAL-I,1,MAINT1A,24,ALBROCF,29325,40
MASAL-R,1,ALBROCF,21,MAINT2A,30868,40
VMN0S7-NA2,1,MOCON1A,29,SANVI1A,12487,60
VALCSDB-R2,1,ALBROCA,27,CAL1C1A,27215,40
PEMAL-I,1,ESTAPEA,49,ALBROCB,26275,40
PVCAL-R,1,ALBROCH,29,BALBO2A,17358,60
PVCMC-I,1,ETBVE1A,28,MERMACA,11831,60
PVCMC-R,1,MERMACA,28,BALBO2A,12633,60
VEKAL-R,1,ALBROCC,43,VERAN3A,19508,40
MECRP,1,MERMACA,40,MERMACA,20552,60
MIELP-VI,1,MAINT2A,4,ESTLP1A,9525,60
MIELP-VR,1,ESTLP2B,4,MAINT1A,9102,60
MIFAL,1,ALBROCD,17,ALBROCD,17399,40
MPEDO-VI,1,PARED1A,4,MAINT1A,4288,60
MPEDO-VR,1,MAINT2A,4,PARED2A,4057,60
PEMAL-R,1,ALBROCB,57,ESTAPEA,28268,40
PEMCS-I,1,ESTAPEA,39,VVETK1A,19974,60
PVTAL-DI,1,ETBVE1B,31,ALBROCH,16741,40
PVTAL-DR,1,ALBROCH,33,BALBO2A,19620,60
SANMA-I,1,PUEBL4A,23,ESTAMAE,26753,40
GEEDO,1,GESTATB,69,GESTATB,42397,60
MPMAL-I,1,PENAB1A,60,ALBROCB,30496,40
PEMCS-R,1,VVETK2A,45,ESTAPEA,20167,40
PEMMA-I,1,ESTAPEA,47,ESTAMAO,22886,40
SANMA-R,1,ESTAMAE,25,PUEBL2A,26682,60
SIRAD-I,1,EALCDIA,29,ESTSI1A,11338,60
VALCSNI-N2,1,ALBROCA,34,NVAES1A,39316,60
VALCSPD-N2,1,ALBROCA,29,PADON  ,34399,40
GEEMP,1,GESTATB,73,GESTATB,37707,60
MPMAL-R,1,ALBROCB,68,PENAB2A,33040,40
MPMCS-I,1,PENAB1A,50,VVETK1A,24590,60
PEMMA-R,1,ESTAMAO,52,ESTAPEA,22681,40
PESMA-I,1,ESTAPEC,27,ESTAMAA,23540,40
SIRBO-I,1,AMANE1A,30,ESTSI1A,11167,60
SIRBO-R,1,ESTSI2A,30,AMANE2A,10815,40
GEETO,1,GESTATB,92,GESTATB,47038,60
INEBL-I,1,INATM1A,28,BALBO1A,11971,60
MPMCS-R,1,VVETK2A,57,PENAB2A,24939,40
MPMMA-I,1,PENAB1A,58,ESTAMAO,27502,40
VBIQCA-NA2,1,CCRUCEA,35,PENAB1A,16545,40
VBISAL-PT1,1,BALBO1A,15,ALBROCA,16326,40
VBISA2-PT1,1,BALBO1A,12,AMELI3A,14986,40
VBISA3-PT1,1,BALBO1A,15,ADETM2A,12574,60
VBISCN-PT1,1,BALBO1A,13,CVANA2A,11773,60
